mtime,C,CM,DL,EN,EW,FN,FR,GO,H,IS,JM,JV,KZ,MR,NT,OR,SY,V,X,XZ
2021-11-01T12:40,2612698,2937373,2206476,3450346,2337980,2936230,1898348,1769091,2776239,2411263,2117403,2461116,3576183,2367684,2934859,3318525,3178962,2866630,2638160,2494867
2021-11-01T12:45,3736679,2718213,2677962,2239304,2243678,3246396,2724915,3917494,4165780,3049929,2686084,1562767,2592643,1730590,3506458,1881249,2967003,2805760,2105328,2336230
2021-11-01T12:50,2763346,2409019,1639397,3394931,2442419,2384008,3375967,2572019,3509109,2920135,3721194,2326015,2661341,1618359,4110697,2729620,2387573,3102937,2451593,2710015
2021-11-01T12:55,2427934,1843314,1812140,3514085,2395757,2302935,3118430,2996297,3801540,3585333,1888749,2605918,3680471,3425747,3214908,2244407,2137927,2157662,2232848,2576753
2021-11-01T13:00,2713654,3389526,2508739,1836083,2116044,2068081,3247448,1626764,2393608,3712472,2945475,2061559,2298512,1890033,2795728,1556038,4704413,2706801,3321795,2292863
2021-11-01T13:05,2425701,2961559,3187615,3041668,2858447,2938403,3080839,3511712,2153486,2645942,2308584,1718357,2645899,2080722,2306840,3511639,3773772,2164855,3003048,3224109
2021-11-01T13:10,3330050,2013682,1904387,3180253,2195010,1838678,1716569,1841184,4134030,2844315,1975137,3473090,1828847,2791133,3051315,3030781,3797473,3385910,2366483,2254302
2021-11-01T13:15,2392844,3145978,2705383,3278238,1929615,3346486,2801393,2239847,3393052,3089880,2220437,2178705,2156884,2571932,2781573,3362783,3548618,2944903,2244235,2711613
2021-11-01T13:20,1519792,4227059,2019690,3148428,2928178,1910924,2778221,2763208,2168049,2571913,2628311,2376492,3548341,2332393,2156657,3352700,2850545,2487527,2513636,2750096
2021-11-01T13:25,3250752,1941960,2649564,2305390,1882495,2795452,1509871,3545985,3896483,3817875,2294276,2152579,2735376,2982236,3303234,2628315,2812034,1715772,3077155,1932725
2021-11-01T13:30,1986644,2898400,2757821,2004979,2143376,2385015,4185212,1698819,2662367,2471451,3776565,2467470,3262903,3248028,1806760,2129953,2275704,2789967,2752464,1871016
2021-11-01T13:35,2501524,3332949,2881166,3130110,3149326,3201238,2573517,2432467,2779230,2939219,2372777,2200280,3071647,2540522,3377666,1765570,3372428,2937135,3484345,2588012
2021-11-01T13:40,4098674,2623202,2245796,2023486,2717014,3579362,2264440,1742760,2839258,3228798,3240142,1939224,3199014,2886128,2040998,3197886,3867212,2949976,2865090,2896340
2021-11-01T13:45,2709782,1851522,2900720,2795693,1472916,2036706,3585333,2629112,3106065,3272519,2536809,2635150,2860589,3217150,2766614,1842311,2922929,1706000,2565215,1630398
2021-11-01T13:50,2768980,2946778,1584783,2241146,1688347,2977232,2570561,3049749,4069391,2845555,2328016,2912676,3413080,1556129,2300857,3658417,2943742,1737668,2644257,3178004
2021-11-01T13:55,2161746,2178459,2687023,3491897,2708543,2953205,3167167,1943254,2434327,2346645,3438007,2562769,2767355,2326949,3779466,2699725,1960615,3654528,2477500,3319110
2021-11-01T14:00,2503062,2102062,2971440,2218632,2403097,2465628,3378552,2719417,2486069,2244125,4008911,3554106,2744521,2580057,2398855,2703395,3821494,1577691,2705111,3069080
2021-11-01T14:05,3194251,1689599,2366178,2772139,3466390,1740600,2879911,3056977,2671479,2496963,2047064,2548110,3285244,2156011,2580423,1996333,4511393,3262241,3025122,1821824
2021-11-01T14:10,3896836,3032525,2437172,2301583,2822604,1640101,2550300,2632377,3033747,3486623,2791495,2201804,2891847,2278023,3152659,2560487,4384771,2634755,2884055,3352030
2021-11-01T14:15,1609868,2234904,2015788,3224462,2970279,2807868,2875693,2756002,3111970,2287463,2346917,3085152,3099046,2886449,4032244,2775099,3491234,3069415,3030851,2797601
2021-11-01T14:20,2916312,2595951,2654045,3953897,3009583,2247344,2524259,2492993,4423289,2830757,2964835,2812740,3225457,2378126,2444998,2159766,2856131,1831549,3145277,3137378
2021-11-01T14:25,1863863,2152020,3151677,2469762,2912326,2771394,2839301,2538231,2942789,3726219,3038019,2460147,2628924,3030060,2106456,2195407,3460572,2348209,2387654,3248742
2021-11-01T14:30,4196505,3555507,2576390,3063061,3404435,4090845,3383293,3285958,4137540,3565568,2237252,3598769,3062337,3219887,2661993,2449192,3375646,2252152,1316898,2694151
2021-11-01T14:35,3732622,3116893,2795400,3220680,2242480,2273096,2504337,3304437,2711808,3169559,2927912,2017980,3191787,2353342,2728849,2311455,3163518,2304172,3311549,2774317
2021-11-01T14:40,2406041,1673793,3334757,2080678,2053071,2643924,3188766,2919088,3174596,3467306,2689616,1473201,2506118,2315357,3265247,1464810,3235898,2344452,2454925,2425298
2021-11-01T14:45,1743381,3729188,3038181,3413307,2797182,3055002,1998812,3565648,2992592,2469890,3927806,2192223,3442990,2400077,2393056,3467000,2581247,2656858,1716054,2618063
2021-11-01T14:50,2046183,3392765,2395508,1356706,3723971,2160640,2278103,2429856,2544437,2350273,2525324,1548032,4138999,2187214,3187035,2006594,2763646,2351407,2172863,3270029
2021-11-01T14:55,2213806,2969647,1854941,2884440,2159983,3150700,3230195,3260536,4227158,2764238,2794043,3305813,3303223,3064479,2267947,2329495,3185706,2894860,2015755,2323867
2021-11-01T15:00,3661686,1912033,2118071,2558962,2382261,3179441,3049390,2498858,2240435,3422916,3604675,2473842,2659631,2495836,3575049,2168131,3018023,2218213,2663644,3436111
2021-11-01T15:05,2638148,1260148,2554939,3219141,2950272,1912686,3353891,2981918,3951050,2634960,2967419,2595288,3669250,3035090,2535771,1400241,3807454,1853637,2403591,2051027
2021-11-01T15:10,2470781,2205924,3134220,2435536,2568831,2482633,3000624,2664548,3326210,3101638,2765460,1579702,3143180,3677300,2905382,2969051,3587767,2220444,2183532,2368231
2021-11-01T15:15,3329129,2382853,2132849,3715605,2686710,1626166,3622593,2374459,3136660,2965460,3162057,876194,2785353,2851370,2924683,2255303,3086890,2448564,2937011,2010921
2021-11-01T15:20,2141481,2191609,2118484,3460721,2983315,2363423,2871452,2642543,2915951,2483450,3901258,2385251,3235397,2126185,2439533,2526330,3710276,3109738,2497893,2656796
2021-11-01T15:25,2701024,1896250,2140476,2714557,3974252,2264608,3068149,2338540,3123459,2439670,2995614,2459406,3148977,2786303,2618448,2220991,3307670,1486284,3432491,2621056
2021-11-01T15:30,2674251,1970807,2393043,2073511,2654485,2407008,2905750,2767825,3357530,2026981,3477410,2354554,2539958,3441675,2227398,2253232,3227864,2975464,3636895,1574465
2021-11-01T15:35,2965978,3737075,1737578,2897864,2370367,1496352,2761564,3519321,4152713,2302332,3458254,3256933,2306234,3390193,2866964,2539226,2773451,1629025,2866491,2812109
2021-11-01T15:40,2447146,2373673,1768094,2616781,2915103,2370975,2841180,3582589,3338440,3021174,2340794,2835461,2514366,1761553,2414232,1558919,3423700,1429927,1739866,1432638
2021-11-01T15:45,3191903,2352647,1740794,3514927,2676953,3936872,2723640,2518987,3686274,2570176,3147845,2093387,3462416,2769353,2278622,1977176,2155598,2240262,2888115,2885570
2021-11-01T15:50,1881452,2040741,2627415,2144106,1989919,2495504,4355570,2293232,2409229,3690310,2677524,2878270,2738709,3046572,2389346,2715991,2444779,2334111,2444853,2617001
2021-11-01T15:55,2478068,2295480,2485299,3079019,1792146,2812364,3902323,2962550,3414665,2942537,2729574,2773942,3748907,2739537,4542904,1617105,3673059,1982424,2460433,1425458
2021-11-01T16:00,3761865,2129735,1810212,3563472,2820219,3493775,1967019,2016121,3243435,2460534,2350860,1788810,2923839,3635949,2027198,2366719,2565549,2969335,2680949,2093537
2021-11-01T16:05,2305120,2267386,2434295,3559208,1719272,2352969,2628322,3278602,2078042,2188676,2551672,2136620,4701469,2553201,2586101,2854418,3808491,1823106,2421453,2329584
2021-11-01T16:10,2838947,2265040,2190513,3456412,2761244,2022655,2377744,1719029,3352291,2745373,2225337,2810136,3271704,2081224,3028549,1184580,3135264,995493,2937382,1734913
2021-11-01T16:15,1720766,2066550,2276131,2414020,3532194,2435223,4527949,2275209,3082795,3838578,1857957,2505256,3584134,2958959,2543661,2336581,3574750,1711036,2699024,1733756
2021-11-01T16:20,1981856,2790727,3211672,1971015,2813836,2356515,3378630,2070915,3777821,3497706,1981746,1312112,3478429,2762135,2446985,1662271,3088400,1314692,2943451,2439607
2021-11-01T16:25,3773995,1983790,2214718,2423201,2673031,2011476,3906945,2095737,3028760,3293295,2695324,3675041,2097724,975526,2943001,1776896,2742352,2252274,1541328,2921072
2021-11-01T16:30,2473757,2200043,2503609,3754827,2579065,1855547,4345519,2434999,2674675,3345441,3406624,2812131,1870199,1661511,2536323,3551510,3374247,2218592,3496592,2628938
2021-11-01T16:35,2450449,2196049,3363048,2283371,2795908,3011604,1912306,3214060,2934110,2264106,3105338,2308124,2857205,2479663,3253478,2878435,3218962,1835755,2561899,1830741
