mtime,BI,BU,CW,DV,EJ,ET,EW,EX,FM,FO,GI,GN,IO,J,JS,JT,KT,LZ,MX,TU
2021-11-01T12:40,2939614,3113863,3483951,3487588,3324310,2534651,3244260,3389805,2688293,2889819,2280987,3046457,2166716,2395433,1689134,2406339,3671776,2147555,2212551,3208755
2021-11-01T12:45,2246062,2422101,2895747,2261978,3762608,2692272,3467540,2411230,2378439,3547900,2686382,1529063,3875968,2786332,3228623,2113723,2868055,3625611,1713429,3010877
2021-11-01T12:50,2034963,2387829,1513699,1955752,2022077,1880627,2927287,3079595,2901597,3636426,1804219,3738983,2784404,3201975,2832503,2524874,3197153,2904580,1920146,1758006
2021-11-01T12:55,1522395,4072891,1941320,3439817,2118817,1824441,2567732,3372846,3037545,1324363,3161619,1909841,3776166,2617131,2276939,3226339,3697057,2145162,3020333,2879461
2021-11-01T13:00,2613241,2077446,1466057,2454874,2927673,2824160,2228638,3980782,3242164,2550976,2688012,3203114,4234370,3951227,3128154,4811064,2989042,2013586,2442616,1685813
2021-11-01T13:05,2814206,2095698,2055498,2060281,3183407,3034722,3345001,2242871,3184529,2694658,1937121,2465290,3720429,2673421,2274383,3051493,3169651,3132707,2971937,2421085
2021-11-01T13:10,2954657,2415475,2798799,2553284,3165929,1945220,2681372,3840053,2669604,4012546,2541165,1876075,3630786,2995991,2339462,2734697,3058850,2794615,2984092,1044512
2021-11-01T13:15,1497983,1803681,1811623,2228251,3013908,3074913,1875894,2699253,1815255,3185484,3198314,3425985,2884313,3201273,2062908,3131070,2626479,2652466,1927058,3423951
2021-11-01T13:20,2620337,2749249,3265140,1869481,3311443,1058209,3904937,3334057,2710573,3549145,2391923,2899297,3806999,2490274,2517701,1975004,3852742,1725195,2764440,3501627
2021-11-01T13:25,3112944,2528468,2603101,4000926,2382465,886518,3403525,3334139,2408282,3274223,1847920,4058136,2199031,3370354,3436979,3081764,2866981,2479232,3955339,1983830
2021-11-01T13:30,1909113,3101724,3462567,2361313,3045778,2511051,1938480,2675829,3512802,2382032,1681820,1910769,3001599,2299748,3472544,2542267,2428801,2566445,2475833,2349937
2021-11-01T13:35,3083207,2329135,2704764,3094588,3346064,1574372,2723710,2332236,3124399,2908483,3421477,3002575,2827951,1850389,3172790,2647253,3355568,3170825,2915343,2256838
2021-11-01T13:40,1941425,2735262,2665254,2184872,2204052,1795236,3288400,1920400,3408998,2240864,1976500,938090,2668406,2913064,2887485,2493447,3399928,1966258,3339608,3616114
2021-11-01T13:45,3587126,2435452,1750497,3197653,3514879,1917995,2960115,4416093,1947854,3109833,2867805,2305024,3635650,1472178,2277671,1849423,3250857,2434337,2958183,2158282
2021-11-01T13:50,2290984,2411545,3574540,2719290,2392866,1982286,3404274,3427170,3032677,2245843,2780544,4164494,3352204,3078217,2396096,2009037,2667375,2733678,2975097,3024002
2021-11-01T13:55,2376365,2197069,2341123,2478200,1607907,1211665,2541705,2454251,2217035,3066233,2466015,3309157,3850541,3428508,3453818,3317902,3637989,3304824,2898476,1892679
2021-11-01T14:00,2509176,2658140,2960673,3693642,3648555,1889227,2800596,3221382,2919870,3343713,3170797,3533618,3167952,2781854,2405989,2163817,4511913,3357466,1725953,2525885
2021-11-01T14:05,2230031,2426682,2992779,2015222,2956870,2021326,2908454,3687129,2898079,3268025,1600023,1926972,3054393,2774152,3109998,3859001,2351219,2123336,2807548,2742291
2021-11-01T14:10,1812367,2442724,1675771,2512527,3231968,1856803,2681859,3283602,2700656,2179951,1866794,2691880,3995304,2541123,3324455,1969059,3326153,2259360,2489868,2799259
2021-11-01T14:15,2452908,3288388,1816277,2774196,3282930,3829397,1990495,2325592,1835226,3535057,2759162,2720461,3989242,2216782,2417678,1581428,2326201,3065162,1527696,2536187
2021-11-01T14:20,2905710,3067641,2915555,3018606,2871863,3360117,2407611,3196745,3893433,2898110,2109220,3100075,2567866,2441720,3203156,3504672,3777616,2322684,2599150,1511451
2021-11-01T14:25,2226384,2153264,3704334,4046659,2562162,2659369,2157253,2465762,2099004,3559658,2594762,2755147,3404507,4270122,3460265,2340723,2302758,3468739,3224389,2284812
2021-11-01T14:30,2455007,2964749,3013962,2548951,2937336,2677015,1966471,2892688,2686646,3671048,3404044,3370613,2752168,2881721,1683500,2304668,3715426,2266115,2603899,3169294
2021-11-01T14:35,2422416,3020496,3746684,2598075,2501497,2649590,2844376,2939354,3017998,3737631,1926776,2524714,3004158,2559982,3523351,3351827,3599442,2978875,2115744,2043895
2021-11-01T14:40,3182125,2429455,4040017,3188376,2375972,2283304,1937061,2144829,2840218,2687591,1633538,2225721,2615415,2013760,2893711,2100994,2885265,2098575,3365404,2650718
2021-11-01T14:45,1533220,2356190,3404349,2651607,3880061,2270275,2841094,1884355,1730342,3290479,2161048,2904213,2973762,3823876,3604395,3018062,2561481,2749196,2096414,1861102
2021-11-01T14:50,2845580,1859707,3681292,2796181,2994525,2375710,2886545,2963869,1445525,3928711,2502740,2399315,3191405,2148947,1907045,1526996,1791032,2488405,3569984,2180142
2021-11-01T14:55,1662657,2330316,3357621,2921127,2782115,2715953,2251349,2967123,3289988,3488174,2411565,2315231,2706069,2762264,1667346,3473859,3073146,2254262,3230512,2753221
2021-11-01T15:00,2675632,4192294,3133532,2697924,2615887,2291887,3164084,1813980,3385254,3628887,2116892,2112295,2167580,1701429,1926170,1870873,2305338,1582593,2487171,2805653
2021-11-01T15:05,3505777,2520695,2007302,3594430,3342759,3306010,3045904,2525491,2881021,2565948,2400325,3364480,2299957,2220700,2429090,2941976,2822981,3079456,2510936,2619151
2021-11-01T15:10,2506747,2399506,1810892,1954637,2969490,1411288,2298014,3310106,3304723,2858854,3155512,2781598,2605659,2488378,2016180,2326679,1433772,2276255,2074131,2185591
2021-11-01T15:15,1850412,2911577,3566023,3210720,3496782,2511882,2211135,3808815,2776115,2440626,2476915,3606615,3213141,2480888,2143161,1640149,3418835,1530633,2149916,3109686
2021-11-01T15:20,3356463,4203938,2248920,3390919,3374627,2310361,2234777,2717687,2146343,3680987,2362541,1460970,2731730,2483317,3264024,2297953,2574589,2184385,1748326,2361211
2021-11-01T15:25,2685706,2219637,2805110,2789629,3310242,2989926,2422898,2841560,2400653,2653639,3680679,3477378,2952959,2305976,3158116,1514600,2726447,2790825,3272314,3114340
2021-11-01T15:30,2377228,2087078,2303943,2731180,3377489,1896624,2785553,2529713,2944934,3428972,3189590,2603282,3414454,4257878,3127315,3179855,1961067,1850478,2153762,2333778
2021-11-01T15:35,1399929,4241469,2652860,2095728,2683714,1559079,2351104,2375490,4234894,2920818,1929288,1699905,2788349,2696511,2351744,3062220,3997461,2000650,2750049,3245734
2021-11-01T15:40,2663888,3673188,2844389,3184376,3158100,1619852,2522340,3239574,2651507,2645652,3476241,3161612,2198510,2639932,3133280,3415624,1869410,2811480,2495311,2084014
2021-11-01T15:45,2925424,3117941,3028854,2399873,2528439,1632597,2480658,3015954,2654753,3241392,2383266,2616965,2878656,4030634,2134438,3078402,2628349,2976426,2308377,1812239
2021-11-01T15:50,2555882,3214487,3158553,3146609,3447792,3207770,2522173,2611369,2921424,2194121,3838186,2959198,1935179,3241356,3572325,3214931,1841503,3895761,2536888,1840464
2021-11-01T15:55,2490601,2622511,3075129,3144759,2442161,1984348,2509503,3278885,3435508,2272790,3784073,2373289,3970683,3124253,3104114,3124509,2506123,3792354,3501426,3074962
2021-11-01T16:00,2353858,3038768,1614925,2314125,1017507,2064448,3090347,2732521,2206773,4582589,2413716,3101848,1831394,2724223,2567642,3338617,3041349,2415860,2448385,3537994
2021-11-01T16:05,3379436,3075880,2461860,2525346,1981316,2852405,3488474,4526595,2390567,2325780,3220692,4197684,3139774,1820601,2550288,3650398,4154230,2737251,1953464,3016258
2021-11-01T16:10,1597886,2673656,3569612,2076234,3918699,1869171,2271117,1244270,3112050,4292727,1881625,3282671,3275006,3337080,2524531,3974988,3976787,3032728,1458428,2664443
2021-11-01T16:15,2560255,2254417,2891344,3184618,1718658,2824550,3093790,2977440,2317461,2503314,2720425,3311594,4115051,2697990,3744931,2875687,1393535,3399688,2538103,3202505
2021-11-01T16:20,2396425,2075888,2962598,1754411,2743411,2549884,2399484,2646520,1801723,2115917,2723123,3965805,3485135,2273594,2851532,2697777,3394751,1984690,2162797,2383588
2021-11-01T16:25,1536940,3185863,2331795,2454674,3146591,2501801,2644438,2226918,2241271,3253736,2500820,2539928,3060870,2025025,3035152,3390753,1569084,2027354,3355941,1741304
2021-11-01T16:30,1385856,2617643,2927917,3223021,3333510,3152012,2679359,2201058,2830589,3663194,2670657,3404290,3200899,2857962,2013751,2439635,2709550,2768102,3000439,2840366
2021-11-01T16:35,2940599,2543164,1980506,3855084,3373645,2857116,2920427,3039644,3004861,3380058,1978533,3709556,2567175,2228749,2990838,3108909,3057770,3147886,3036603,2292097
