mtime,AU,BD,BN,BQ,CP,CZ,DP,DZ,EM,EO,EP,ES,FM,FN,FZ,GM,GN,GO,GR,HI,HY,IZ,LU,N,NO,NZ,QT,QY,R,RU,RY,SY,UW,X,XY
2021-11-06T03:35,3218245,4118117,3877273,3004617,1479060,4400109,3512532,3784914,3036863,3713419,3536990,2811067,2155961,3145811,2755725,4107585,4234611,4200689,4003044,3520175,4009846,4892054,2813678,3971909,4081644,2503917,3606038,3988758,4641134,5099266,2134958,3401046,4550283,3306745,3623653
2021-11-06T03:40,3939373,5612704,3705377,3621532,3959523,3579836,3862125,4678161,4431757,5738749,2433717,3622845,3766133,3783001,3518386,2357863,4043835,5337295,4759031,3067834,4878364,4419770,2814712,4223258,2408557,3444423,3684877,4130485,3191241,2880968,3045042,4135612,2586224,2680594,2985225
2021-11-06T03:45,3934501,4291242,3586602,2760341,4554681,2801838,4489620,2687510,2790616,2946160,2855886,5190205,3046512,2377147,3863659,2994062,4195516,3347312,4792690,3509616,4786895,3936601,3186785,4187138,3349951,2835282,2965864,1738186,4313812,4726120,3982925,3244693,5061135,3918735,2845790
2021-11-06T03:50,4106784,4165286,2557063,4185851,3480419,2658401,2936472,4268623,3416804,4075102,2540573,2999629,2569885,4531023,3353591,2998397,3139336,4401502,2451326,2507420,3006426,4827775,3214908,4273523,2946771,2850969,3062114,3211334,2860166,4275297,4222036,4605864,3197158,3688122,2951745
2021-11-06T03:55,2869984,4077450,3318543,3230060,2325410,3086171,2751612,2397604,3558146,3825863,2527840,4039363,2616321,4011812,2199719,4565931,3429314,3904050,3597030,3784027,2871154,3016032,3458465,5121175,4637417,3878769,3778034,3310956,4396152,2451854,4159770,4829119,3302821,3327617,3723455
2021-11-06T04:00,4294569,4429286,2589427,4203473,4106700,4592308,5211196,3826885,3151070,5632177,3495843,3360838,3156423,2525620,3577392,4397354,3430375,3826085,3654341,3150232,4387303,3893382,2902847,3539090,4230900,5275667,2976457,4293172,3815256,4259186,3138561,2482572,2301169,2021977,5486773
2021-11-06T04:05,4173334,2361536,1769932,3697857,3552676,2338582,3676757,3095793,5493077,3596010,4198042,3731558,3932431,4691264,3667520,3760920,3954703,4273644,5113118,3457518,2780709,4458901,2722944,4439773,2568171,3289839,2707014,3074237,5007820,3801738,3948902,2753717,2922732,2951025,3171256
2021-11-06T04:10,3639984,4167067,4425797,3528970,4433162,4040077,2663185,3706371,4885366,5341244,2325236,2690612,3331893,3160076,4423672,3150087,4057882,2944710,3787385,2227226,3197659,3543798,2785916,4929377,2836688,4437184,2561039,3608566,3189522,4758214,4872916,4798077,4092873,3876899,4938713
2021-11-06T04:15,4697369,3236925,3413095,2815776,2775607,3984939,3818652,3050110,3662707,4563145,2265446,3821311,3748647,3588121,2869066,3662024,2906371,3147939,3939099,3850127,3493678,5584428,4483756,4430090,3685374,5366150,2840636,2342451,3346427,5679875,4016983,3954559,2501543,3933644,2961188
2021-11-06T04:20,3520820,4833101,3726064,4293986,4271687,2927885,3121140,3094913,3928225,3341498,3130631,4223824,2613047,2019063,2549427,4834075,4588889,3358455,3684519,3104713,2684866,2466725,3564483,3308359,2693556,5160415,2933419,2570802,3962462,2511206,3447959,3066736,3167798,4009846,4100839
2021-11-06T04:25,4148038,3005393,4604535,1906043,3371477,4114406,2713795,2513813,3450366,4312532,2969038,3119182,2840254,3188176,2268188,2406332,3127973,4210099,4425577,4588349,4288022,3504277,3444990,4281302,1918456,4530183,4747417,2757281,3650212,3124215,4359029,3644532,4178928,3552637,3927152
2021-11-06T04:30,4807679,4171576,4043901,3373264,3090067,2087119,2800659,3564849,2600936,3965810,3856442,3136196,3903174,4359624,2854802,4411717,3295525,5633072,5449908,3672239,3762900,4933334,4320087,4032510,3147920,3305609,4108006,3893874,3746579,4939649,3829024,3217678,3443877,3923610,2324483
2021-11-06T04:35,2896060,3376091,3027284,2645002,3047857,2499244,5428905,3387286,3951915,4438073,3299559,3756801,4411659,2071182,3134711,4040351,3307898,5254810,4846149,3267868,2360148,3180189,3107829,3832040,3431669,3498096,3332782,4205410,3359440,3830145,4399172,3336796,2757448,3706201,2967186
2021-11-06T04:40,5025814,4280872,2889483,3176895,3981411,4586312,3618141,3471030,3290000,4762813,3140638,2544835,5088291,4628761,2628577,4430554,3117480,2860286,4028819,2716445,3124184,3632917,3119527,3199483,3637442,4233362,4690716,3708114,3844708,3211282,4248284,4375786,3489698,3295014,4754327
2021-11-06T04:45,4548534,4980669,3705924,2337006,3533628,3827283,4512197,3068764,2928613,3749116,3715949,3007985,2438167,4973889,4411711,4259324,3022025,4193184,4803550,4046565,3538642,3991926,2550253,4290053,2936690,3378497,4041657,3086215,3062954,4204569,4383145,2962586,2793319,3101477,2809394
2021-11-06T04:50,2502159,4253208,3287257,2725482,2274183,3590186,4318815,3983624,3048458,2892452,3795836,2905578,3437953,2563625,4078155,3829915,4873486,4284818,5735157,3034581,4058515,2673106,3368573,4215005,3627598,3600335,3799479,2831913,3426402,3784641,3660329,3372716,4442365,3116317,4024994
2021-11-06T04:55,2906211,3971126,4302384,3734469,3716726,3107461,3306633,3209713,4390102,4159601,3419955,4024026,3382410,4230310,3796689,3984570,4294345,4052159,4281814,2519923,3480196,3419041,4084802,3193555,2949906,3878160,3371516,3637652,4862768,3497743,5015036,3503318,2970436,4428310,3791892
2021-11-06T05:00,4001521,4071174,2979003,2905207,4816189,3242368,4560068,3460336,2988799,2892835,3162654,2527770,2972115,3220602,4280237,4461397,2874185,3401789,4012552,3969248,3908547,2789390,3574392,3997328,2600928,3961260,4239575,3532071,2277974,3952227,4132440,3737045,4457735,2850173,3205787
2021-11-06T05:05,2931369,5653989,3966901,3422317,4338920,2845223,3707593,3404499,3176058,3380808,3260121,2476792,2774341,3360017,4017910,4476534,3585949,4622588,3936056,3926425,3241665,4509323,3182102,4769153,2694916,4640369,3811337,2626780,2890237,4230168,3777870,4305619,3176609,3171886,2944164
2021-11-06T05:10,4344897,3958688,3564618,2812691,3758401,2598729,3528040,3623729,3597514,4107830,1966186,2610606,3170561,3674034,2876609,3328592,4448907,2864916,3692110,3066920,4849984,3366345,2198941,3507529,4932627,3863905,3544347,4067028,3835956,3355223,3918856,4819657,3417176,2840196,3418047
2021-11-06T05:15,3278517,4463495,2789046,3929979,4482576,3780759,3001490,2086670,3855910,4374109,2488690,3397134,3195100,3942801,2896044,4657359,3098716,3726642,3888201,3822352,3716681,4198309,3241137,3763631,3156563,3619500,2823505,3798909,4971508,4287463,4651224,3640905,2767289,3696943,3246747
2021-11-06T05:20,3321160,3995334,3032747,3488300,2127405,3084616,3245804,2100555,2965773,5907104,1337491,2367914,4246199,3018662,4643349,1714208,3784476,4429781,4650531,3002078,3067240,4651890,4038280,5107627,4027374,4278979,3277471,3770462,1754472,4310817,4681209,3615406,3361493,4438607,3577266
2021-11-06T05:25,3119024,3567239,3056326,3140298,3977352,2106550,4491558,3485163,3348190,3431062,3261680,2343525,4520183,3185419,3068235,4510838,3460499,6683267,3870881,3777021,4292370,4864379,3979431,2944225,2860299,3600572,2024361,3575089,2371513,3556767,3524837,3876848,3528456,2633034,3896831
2021-11-06T05:30,3736076,4862871,3184885,2452110,3777853,3323014,4006086,3484585,3962420,3145437,4340340,3378258,3037824,3598081,3299296,3876057,4515702,4384151,3697043,3406919,2854330,4445229,3308234,4382659,3405440,4150905,3487273,3517593,4299777,3302241,3288220,2937514,2342646,4730208,3960529
2021-11-06T05:35,4772413,4463933,3536954,1842057,3618094,3231185,2721897,4553452,4507752,2690613,3696484,3210784,4138313,3323024,2930822,3995392,4485582,3999677,4422745,3507357,4326215,3236110,2347108,5070177,3279569,3364046,5243469,3440825,3865098,2471780,2777749,4422036,3752349,3238741,2136344
2021-11-06T05:40,2897505,3407664,4180916,3112011,3783819,3763139,4177624,3396875,4501061,3824761,2720956,2935029,4249237,4424289,5590587,4181199,3443453,5028846,5120862,3807645,3088646,3727711,3427217,3023963,2375367,3478987,3676351,4002930,4195219,3612075,4583839,2746691,3779465,4142857,3691604
2021-11-06T05:45,3406006,5057196,3425868,3056872,4051233,3840091,2612857,3935293,4460090,3921092,2837366,2769712,3965319,4449971,4144271,5917965,2856801,4782242,4264923,2886787,3813975,2511379,5198944,4605610,3833910,3740566,3226507,3022107,3929284,4306726,3379136,4268487,3448155,4564812,3885043
2021-11-06T05:50,3362941,4840130,2533997,4218568,4625887,3860413,3492657,3709354,5500663,5851304,1965872,3981737,3418207,3185647,1864985,5581248,4095560,4939816,4093260,3889774,4714271,2504323,3078416,3239824,3195721,3909824,3288224,3257343,4158541,4547200,3590885,3620924,3746663,3365733,2463943
2021-11-06T05:55,3752005,3492066,3552012,3585656,2586924,3336332,3091314,3715075,3301069,4087247,3584436,3432202,4217404,3027698,2984047,4729775,4097930,4801997,4092949,2010180,4818761,4124260,3144833,4813318,3190504,4970709,3337550,4137373,3366370,4575177,4147933,3386814,2966104,2983167,3155861
2021-11-06T06:00,4664498,3231323,1576823,3331386,4192880,3932843,2140398,2861546,4846342,4809430,4226569,3255285,2261571,3174188,3176330,4207575,2283296,4982737,4079571,2769559,3498136,4165054,3491515,3365199,4658053,3543596,3911804,3894669,3627251,3987173,3475100,3976195,2180204,3768202,3337244
2021-11-06T06:05,4240886,3338999,3486695,2602512,3399878,3157978,4746972,4198026,3835757,4187531,2796594,5555889,3834526,3205837,4178697,4536394,1954284,3745443,4447327,4136131,2866925,4048534,2515836,4037255,2372562,2631798,3216950,2757118,3351038,4067322,3959626,3442634,2724769,3777788,2445982
2021-11-06T06:10,3621667,3952219,4580953,2570962,4514944,3173858,2146492,3614821,3013713,3728770,4287191,3838397,2841101,3926567,4208541,3184777,2628456,5708902,3727062,4296662,3484092,2443897,2617038,3698944,2440232,3431643,2981921,3224150,4989279,4371502,5553929,4563455,2584901,3032965,2875932
2021-11-06T06:15,3715227,4713519,3018993,4261882,5288300,3110671,4191852,3516350,3357076,4957575,3292703,4360298,3769350,3372197,3712602,4110100,3560831,2742881,4715768,2694566,2345849,3534660,2764828,3349776,2520972,3355732,3353243,4127177,3574903,3795735,3342999,3662351,2917638,4360654,3052921
2021-11-06T06:20,4025257,4806622,4374825,2347307,4016202,4061211,3349629,4013372,2946536,4232675,3332245,3475066,4372056,4433025,3912271,3317055,3562263,4452546,2940523,4453403,3125782,2843782,3077458,4703154,3173516,4232464,2075848,4318017,5164379,5168279,3856794,5955092,4297411,3114603,4585642
2021-11-06T06:25,3940673,4353529,3625410,3151667,4138232,2725947,5476616,3452059,4398300,3581124,3005549,3276548,3215929,3383324,4160879,4634783,3003130,4494716,2350943,4208391,4316414,3602410,3027828,4212713,4356226,3355057,3151750,4583226,4304183,3488970,3526931,7037619,2523117,3656999,4294416
2021-11-06T06:30,3558049,5005768,3417694,4282608,4134368,1153993,4809893,3953544,3899709,5067205,2255953,4383291,4830766,3057836,2891472,4777208,3516669,3676356,4092328,2545481,3116418,3933006,2672125,4199636,3201221,1953246,3150721,3856016,3393616,4347569,3879369,3642785,3386610,4162581,3032515
2021-11-06T06:35,3285267,3153944,2917250,2989054,3613669,4768749,3550142,3014457,3719752,2622618,3378046,3440821,3169525,4444618,3625393,4439271,3231572,4237642,3304683,3426922,3976828,2761786,4394428,3816291,2817838,4110949,3510436,3019550,3620373,3953240,1995426,3955692,3597359,4103245,4159996
2021-11-06T06:40,3065782,4464220,3718048,3989452,2989367,2903537,3722067,2490875,3358181,4611665,3102283,3589269,4913974,4123494,2977553,4296431,2875226,2780280,4849667,4781859,2833429,5834421,2994334,3576697,1652618,3889974,4425592,3640007,3226293,3094248,2998037,3580928,3466838,3689551,4092373
2021-11-06T06:45,3231613,5284484,3508347,3848844,4056895,4359284,3943636,3599840,4028909,3855915,3399053,3670546,3398264,3802579,3763432,4066341,4466425,5048027,4272239,4713561,4469218,4771218,2911159,4445193,3688307,3077067,5025717,2682577,4179360,3390143,3775375,4435294,2285221,3182968,4486112
2021-11-06T06:50,2364800,4576257,2787582,2249991,3303716,3164254,3679980,4959654,4403960,3317113,3398179,4997711,3475705,3390433,3600629,3601112,3235285,4323638,4324121,3424156,3294702,3269427,2901391,3950857,2319316,3768447,3339870,3269883,3334488,3614939,3802368,4091146,3311834,3524621,3339661
2021-11-06T06:55,3129935,3083367,3348023,3162382,3709147,3575462,4730254,3251676,3471552,3273437,4482987,3546528,4187437,3938168,3015444,3758270,3502179,4088250,4319157,3420288,4251587,2916423,2354348,5614312,2913443,3462950,3609796,2584956,4693191,4274510,5133771,3296037,2423866,4044740,3162287
2021-11-06T07:00,3685531,5357788,4525501,3330182,2260446,2886256,4297932,2746033,3293294,3711126,3700075,4245101,3316293,3479334,3575094,4352335,3665504,3680593,4248067,3014983,4139140,3228554,2981487,4193180,2924966,3610596,2874635,3105966,4524041,2939428,3911461,5557748,3206708,2409893,3055932
2021-11-06T07:05,2431207,3637628,3362833,3895905,3081261,3615123,3178582,3360773,4241414,3309693,2869302,3556499,4093533,4458691,3858324,5006401,4279635,3363862,5538385,2343928,4443417,2650335,3169172,4676182,2815400,3569190,3135050,3887333,3686021,3541355,5199768,4014031,3950787,3192201,3740047
2021-11-06T07:10,1827790,3496941,4741246,3614959,3207886,4002745,3228423,2738226,4516695,4113649,2989967,2672535,5763228,3057073,4496245,4000831,4723163,3013316,4505562,3917553,4652871,3566297,3886311,3534128,3234583,2946444,2722223,3661745,3967113,4489988,4049515,5381114,2168027,3181965,3993148
2021-11-06T07:15,2726375,4515268,2946631,3346767,2959882,3519150,3005671,3455172,3364289,4122144,3308615,3974510,3820245,3443270,2247607,2622781,3436292,3180960,4237560,2564290,3467118,2795358,3882033,3628267,2748718,4340532,3763911,3856425,4051186,4605431,3555204,3355387,2497255,3320981,3529195
2021-11-06T07:20,4511730,3674039,4013112,1964603,4638214,3214023,3028197,4417328,2267468,2210516,3823045,2215339,2132108,5913544,2886447,4945027,4103511,3867307,4062573,2329337,4023404,3632409,2792816,3215117,2707557,4187651,2854303,3047965,3952469,3669751,4200694,4395430,2088427,3841813,3024513
2021-11-06T07:25,3848312,3111040,2846376,2990457,3676460,4347263,3445691,3784063,3336564,4499459,3741752,2664884,3229240,3705288,4452550,3635023,4609169,3656443,4212175,4000732,3029299,3264340,3600956,3136274,1955897,4957842,2926985,2375370,4256190,3961905,4154720,5434887,3279734,4100717,3803579
2021-11-06T07:30,3723439,3499791,2998162,3458879,3432404,2042734,3057186,3226637,4040081,5084813,3151647,3204016,3392261,4891518,3931720,4361281,2909450,6008352,5141079,2712083,3111998,2279195,6175894,4159097,2363809,3207821,4072651,4388343,2880723,4669990,2867424,3725394,3137442,4782707,3334426
2021-11-06T07:35,4543587,3474367,3287347,3358922,3114676,2641166,3277318,2346648,4202746,3869774,4148831,2549837,4030623,2852047,3054480,4278131,3629194,3992892,5595352,4056369,3582566,3481705,3020308,4326602,2249014,3432627,2561372,3903093,5134688,2867066,3481558,3538841,2666987,3441441,3603155
2021-11-06T07:40,4102653,3605743,3348145,4020470,4089310,2173441,2453973,3460670,4540509,3376581,4137310,3130386,3655401,3723469,4087208,3217993,3953316,1208310,4184037,4301669,4538964,4057374,3195932,5092624,2648305,3231543,2444309,3823262,2268367,4783950,5366736,4375518,3525022,4009711,4184911
2021-11-06T07:45,3248947,3410231,3696744,2730852,4401602,3464078,3042709,3857976,4755637,4991070,3219253,3158766,2929703,2929002,5556219,3472505,3287692,4808746,4752254,4590201,2003351,3542557,3746395,3723208,3161837,5141270,3056527,3806749,4397826,4298948,5598933,4463397,3042731,3297854,2417133
2021-11-06T07:50,3719243,3929026,2869774,2295293,3705907,3162004,5222028,2332568,3003691,4595188,2571080,3513949,2867630,4222105,4056976,4350033,4795204,3726403,1972800,3630887,3325638,4147964,2410304,2863099,3758649,3634664,4528096,2636869,3329975,4187090,4565443,3986726,3437925,4465607,2989124
2021-11-06T07:55,3863234,3847285,2461671,2728057,5465830,3205131,4736597,3223863,4030744,3380989,3032810,4005396,3560082,3309675,3118993,3502648,2707016,3854984,4543051,3551291,4434311,3480722,3100925,4246749,2466508,3017145,4496172,3005144,4169710,4177207,3225325,3843064,3365417,2917752,3041341
2021-11-06T08:00,3433439,3232639,2605975,3386799,2508262,3205469,3160469,3647404,4625222,3219209,2238859,3113037,2618410,2995799,4337979,4325706,4055840,4319245,4498367,4340995,4047141,3827356,1989946,4108924,2583896,4511253,3412998,2530653,2646055,3368302,3922260,3598674,3419258,4850743,4378105
2021-11-06T08:05,3204742,4415218,3851614,3552479,4518495,3857158,3481636,4164855,4336441,4258225,1998203,2986674,3108233,3036419,3327270,2685892,3263381,3061612,3618152,2436632,3059822,3160924,2902499,3324903,2676959,3690464,2680001,3609567,4746263,3805014,3700862,3331824,3337083,3755747,5161728
2021-11-06T08:10,4171915,2694086,3538757,3572407,3237689,2509709,2942410,2991492,4436767,3256825,2878494,3469821,4163015,2658904,3995675,3350326,2852353,3592461,3578833,2003555,4304764,3471366,4768672,4292359,2410344,3932022,3365711,3354085,4136870,3319535,4693634,5520926,3786807,2936355,3148107
2021-11-06T08:15,2797004,3342025,3692917,2552636,3647229,3164981,4035220,3138547,3133705,4570739,2906219,2972049,2896128,3688850,3082029,4904540,3580657,3189972,4204677,2703281,4618061,3824049,2970134,3549537,4135541,3189143,3205757,2587090,4575777,3386059,4936117,2588503,5233033,4599306,4547311
2021-11-06T08:20,4761542,4532101,2644234,3138962,4088618,2420893,4929486,3096391,3110349,4672217,3037451,2942751,3109141,3799033,4225137,3881791,3055705,3579026,3502112,4961801,3988361,3317084,2848744,4195444,2374465,3087829,2756887,4532140,3507300,3717367,3814216,5570765,2896350,2764028,4374822
2021-11-06T08:25,2090413,5089272,3769820,4215505,3200563,3351359,4332797,4244785,2969307,4077331,2926156,3644547,3698350,3394798,3835876,4573412,4266652,4723883,5165841,5206612,4100082,4639834,4241937,4961493,2530857,4291572,4113161,4055685,2907961,3666853,3793370,3652573,4115719,4789359,2582875
2021-11-06T08:30,2843453,3657565,4739477,3950186,4379758,2419557,4498289,4348858,3824483,4680205,3082843,1945087,2800109,3561522,3154125,3804809,3278869,4580440,4148292,2613485,3747957,4151023,3145389,5206065,3811746,3305450,3544859,3147596,4191953,2804556,3182798,3535031,2799173,3790041,4391864
2021-11-06T08:35,4130353,4491887,4986316,3235786,4507281,3556844,4254475,2971549,3463781,3832772,2789741,3115188,3604320,4606648,3594116,3957190,3577313,3730701,2784037,3267106,4085628,3888254,3309058,4695205,3868527,5179934,3629354,3537507,3822005,3195396,4317941,3632508,3168401,5914707,3223902
2021-11-06T08:40,1402277,4158812,4140110,2603117,3481773,2787756,3214907,3023727,4599868,5510450,3765133,3252929,4259759,2621261,3964808,4221976,5290968,5065997,4459342,2368380,3388873,4368486,3383009,4062711,2861771,4267605,2808199,3327912,2862738,3985794,4311864,3543305,2085998,2869969,1964102
2021-11-06T08:45,4055519,4354232,3769273,3473923,3954577,2624326,2141525,2588728,5104041,2846983,3172127,3458952,4392715,2771364,2976953,4759735,2546855,4477515,3964241,3682061,4979860,2832830,3096672,4312301,3322863,3583558,3521985,3351008,2909017,3661048,2547128,2124609,2122241,3176912,3752952
2021-11-06T08:50,2790931,4188726,5168252,3659925,3536304,2455510,3887408,3242807,5018942,3460077,2784563,2573139,2961474,3136732,4335771,3545763,4435679,2855162,4001739,3078694,4580886,4528368,2553585,3520528,2767032,4206266,2145312,4070034,4899380,2861974,4475704,4345657,4133868,2871366,2550233
2021-11-06T08:55,3321226,3418201,2723505,2879181,4925051,4035360,2912618,4294310,3435076,4870132,2642336,3244151,5017707,1970453,4737696,3797872,4587998,3648848,5083598,3287872,2951325,3838963,3282885,3231843,2027512,2573646,4823887,2573692,4637980,2982678,3826536,3895574,2610006,4196862,2914168
2021-11-06T09:00,3464555,3239362,3662731,2381392,4852471,2817807,4035327,3156128,3363084,3545220,4039791,2677604,3330928,4366160,2380134,3831952,2915180,4631018,2904615,3911737,2251107,4121582,3331569,4449501,2649054,3334071,3638738,3069923,3118454,2884536,3828970,3428159,2557992,3988256,3627418
2021-11-06T09:05,2946484,4600952,3616459,2230306,2939467,1560364,3072503,2729675,2707984,4049585,4247313,2951301,4301322,4361844,3034418,4523327,3404615,5106402,4880221,3517404,3799685,4180068,3886058,4373242,1940282,4496556,2787441,2849013,3202040,4793051,4622787,4316344,2695043,3421572,3506721
2021-11-06T09:10,3893723,5126800,2102794,3395803,5796878,2661638,3372430,4529697,3830327,3626693,3077589,3091518,4825605,3990708,4016969,3968177,4562482,5159499,2919024,4628889,4493563,4010122,4720353,3750951,2557429,3333664,2995050,2950015,3915777,4137466,4547415,3730067,4307535,3859649,3965704
2021-11-06T09:15,3192086,5345375,2499663,3844318,3724250,2440838,2919322,3889654,3803785,3972345,4218336,3105468,2403562,4023173,3286405,4422664,3489352,3656867,3881440,2368283,3104731,3941552,1600107,3252799,2863478,3284000,3280969,4190330,4093246,3575931,4764588,4533771,3102824,3270697,4270441
2021-11-06T09:20,4163411,4640894,5933920,3173581,4361369,3392636,2681989,2565844,3794111,3293904,3848233,4408384,3526248,4039439,2914030,4091491,4083199,2669197,3334763,2881267,4228667,2589470,3184184,2844345,2281866,3924066,4672895,1764423,2355815,3441754,3504300,3591831,2797892,3824475,2937546
2021-11-06T09:25,3081205,3486689,3311932,4327342,2566638,3835910,3783241,4248276,5108530,3261121,2365023,4277884,3522012,4196752,4183192,4117874,3474429,3404905,5317143,2181494,3300981,4324577,2876895,3398471,2433139,3237470,4009844,3448552,4152689,3615489,3526529,4963804,3023609,2849873,3300637
2021-11-06T09:30,3037595,3819774,3398449,3097101,4373866,3298087,3915561,3579295,3468175,3612707,4490026,4637154,4237006,3616236,2337447,5424527,3310190,3712898,3284139,3618277,3845230,5031806,2944348,4827833,2801954,3306725,3031704,3081803,3795492,3722673,4400385,4210058,3461315,3897537,4288229
2021-11-06T09:35,6027129,5331569,3207977,3874521,3616808,3487974,2663965,3225171,2821777,5223836,2539058,5354681,4111529,1792333,3014332,3130660,4405140,3306533,2849841,3538863,4355673,4903985,4245639,4903097,3682936,3217062,2900388,3280462,5245504,3229929,3724994,3728122,2851126,3396887,4042775
2021-11-06T09:40,4174864,4662820,4132426,2117533,3340596,2833433,3485240,3808340,3213798,5818690,3682837,3239513,3231527,3555394,3665937,5036534,4179447,4257214,4925922,3962943,4143470,2942037,2337422,2788274,2466920,4138770,3680412,3191377,3225180,4183572,4059057,4572460,3612269,4311655,3780315
2021-11-06T09:45,2932853,4488261,4695243,3615399,2887572,2335319,3326691,2353121,3403254,3640222,2535308,3796845,4281191,3322469,3308647,3695553,3150227,3376051,3519237,1853178,3674883,2704647,3411155,3801393,4704366,3999918,6263476,3473299,3552666,4460812,3281613,3468282,3619551,4196700,3652463
2021-11-06T09:50,2611587,4248899,2668894,2526290,3426683,2636597,2990635,4855110,3643487,3996066,3785192,3344160,4077701,2772139,3500447,3160366,3850746,4652413,4175043,2871381,3536982,3127517,3767473,3383344,2227984,3397843,3839981,4754059,4141428,3349589,3994481,3620704,3011176,3182434,3378330
2021-11-06T09:55,3122359,5238580,2889705,2446898,2894141,3736285,4181329,3621668,3554768,4915216,3804638,3649661,1987944,4402150,3166890,3189888,2987390,3806547,4906058,3989381,2674710,3292924,2409551,4553907,2599523,3785244,4206153,2945450,3648967,4424725,3647539,2835357,4384683,3328419,3695954
2021-11-06T10:00,2940980,4383167,2691750,3208886,4647570,2543912,4098280,2487665,2818648,2682179,2745165,3180643,3153351,4316929,3025731,4148173,3749756,3856857,4940364,3440348,3998895,3309184,3856006,3993227,2459017,2813840,4800739,3626017,4580202,2856110,2629183,3258954,2630157,3392719,3829669
2021-11-06T10:05,2503078,3402525,2959375,3383462,3147088,4320920,4149914,3325776,4256161,4435215,2307441,2727829,3692748,4959761,2715993,4694291,4361667,3800260,3472205,3523771,3737708,2626936,3615947,3401503,2885029,3754128,3327183,3111428,3485234,5390889,4051037,4082787,1624013,4297697,4079091
2021-11-06T10:10,3792445,4184084,4756924,1839172,4063238,4309454,3006288,4127413,3368022,4276037,3759105,3068826,4540478,2342627,4518353,3646913,4028809,4154570,3901547,2452711,3059737,3238975,3257253,4312385,2634092,3863086,4196082,3657046,3701681,3381594,4201047,4283609,3523299,3165793,3761497
2021-11-06T10:15,3565125,3153618,2479220,3892551,2215314,3282517,3034875,4508220,3423060,3862174,2940080,2895560,3779229,2534669,2224110,5412280,4238821,3366858,2089381,1897416,2789497,3633378,3529612,4834410,3271619,3316059,2562262,3094934,3637939,2954993,3144569,2868292,3219379,3121596,3502469
2021-11-06T10:20,2836405,3931061,3677889,3000285,2200090,2662346,3205988,4768183,4631522,3058703,2394775,2118407,2798468,3412739,3570110,2566135,4362405,2652008,4714550,3886452,3790293,3768534,4151257,4202546,3000790,3732191,4810092,2944401,3405537,5056985,4077226,4382126,2565257,3695427,2731551
2021-11-06T10:25,3260085,4741163,2842715,4033555,3031846,1946039,3777884,4542477,5763383,4132531,3682037,3684162,4475481,3497559,3518429,3232777,2094939,3865854,4584095,3439354,2921449,3792984,4557128,5426160,2960379,3907027,2855952,3788563,3313601,3408036,3239580,4134639,3541438,3223791,4031240
2021-11-06T10:30,4111242,5341011,3531675,3612829,4027994,3108319,3129468,3043662,3806238,3887538,2418652,3523200,3988598,5487534,3957966,2520642,4748602,3069758,2900050,2680261,3655995,4229292,3160508,4467774,3204922,3641337,2518024,2793476,2424697,4066450,4258867,4220354,3346947,3693240,4875300
2021-11-06T10:35,5603537,3751796,2647666,4453970,4517685,3871071,3866314,3241914,5249071,3259401,2833598,1320723,3038913,2434339,3584995,3330327,3401712,3990601,4346233,4098562,3697769,4608708,3019559,5008419,3566727,3862138,4953547,4609652,3653579,4791279,4335846,3106018,3893692,3648093,3563950
2021-11-06T10:40,4580204,4121440,3059736,3984859,3158048,3982621,3265642,2469137,3194779,5013652,3285339,3017578,4063535,4179762,2775768,4312070,3990790,4998672,5011249,4239131,2880607,4894894,3815104,3881533,3706506,3155721,3200477,3680320,4182066,4162168,5275012,1401162,2826870,4990095,2187253
2021-11-06T10:45,3726753,3632867,3977391,3306615,3775030,3148600,3858464,3569392,2743344,3266605,3844548,3953985,3800627,3761053,2958896,3835408,3673488,4459739,5229765,1805994,3384030,3364570,3830148,3296290,2412363,3705499,4112836,2683793,3057870,3891140,2370829,3065493,2832293,2349521,4020590
2021-11-06T10:50,3729807,3679743,3937606,2420299,4265025,2011804,3251692,3755805,4107510,4910235,3022247,3438836,3714441,3002598,3117889,3872389,2928508,4019561,4446977,3882299,3651234,5588820,2801580,3782716,4006231,4413080,4154463,3438787,4381701,3553648,3326571,4216830,2698313,2341002,3182639
2021-11-06T10:55,3095017,4010352,2351359,2662517,3780933,3001494,2721762,3755238,3551447,3182559,2305666,3305964,4057144,2357847,3792543,3225548,3651560,3311818,3720220,4052057,3127030,3895728,3382128,4412154,4211598,5450457,2998416,4712037,4474556,3750335,4689772,3043568,3222079,3406709,3113771
2021-11-06T11:00,4367635,3419432,3140446,3748752,3915221,3135965,1792637,3328805,3125514,4524891,3392692,3322762,3247658,3907242,5102282,2724462,2902876,4701633,3236100,3711071,4010867,2828668,2712588,5411395,3025305,4593408,4783370,2398084,4981938,2756267,3134970,4204504,3727596,2577998,2641030
2021-11-06T11:05,3920930,3129720,2980520,2462811,4094371,4697668,2290593,3166968,3918257,3699354,3060821,4653524,3178773,3583800,4879041,3471681,3357099,3995119,3614777,3215897,3808380,4646024,4147055,3649851,2915379,2568729,3229050,3134278,3897843,3824362,4372767,3493467,2518103,2970171,2976698
