mtime,AL,CX,DH,DW,ER,FI,FS,GP,GX,HM,KL,KT,MU,OS,PV,PX,PZ,RW,V,WY
2021-11-01T12:40,2437250,1963372,3254975,2524072,4063361,2515255,2313703,1190003,1747808,3097265,3531769,2779507,3095197,2216768,2835551,2396693,2523133,3305333,3780226,3624667
2021-11-01T12:45,2793071,3416442,3022394,2204676,3145588,2669448,2773285,2398412,2139835,3807573,3061962,2164797,2347826,2307861,2542205,1558374,3056835,3157147,3132666,2428938
2021-11-01T12:50,3208037,2779885,1889012,2239597,3096356,4422955,2279129,1617830,1515144,2186574,1681824,3144249,2183124,3000945,2644875,2996937,2793208,1565599,2620778,2693256
2021-11-01T12:55,2591135,1983516,2644026,2870594,2869425,3957341,3241798,1698193,2323431,1417841,2882411,3613780,2359329,2496867,3130575,3591792,3168114,1745422,2145012,2168666
2021-11-01T13:00,3461619,2180069,1797259,1929788,2485706,2925309,2417085,1471985,2876919,2214233,1837462,2621463,2040876,2654533,2374495,2732257,2894872,2441109,2486874,3593219
2021-11-01T13:05,2931164,2630913,1510622,2718546,3278729,2131973,2291631,1093671,2581159,2147618,2801779,3477581,3365330,4784230,2215196,3950014,1779524,3160561,3530663,3126318
2021-11-01T13:10,3936527,1586293,2109896,3401690,1923585,3433317,2011122,2184225,1750149,2846428,3081872,2069204,3894752,2749961,3330655,2690606,2627545,2331695,2623632,3062111
2021-11-01T13:15,2026461,1988335,2372984,1758266,3943665,3137243,2128439,1664456,3186100,2088810,2924699,2338291,2775183,3145359,2568982,2660195,3213252,2562575,2369244,3719867
2021-11-01T13:20,2697863,3265557,2383185,1556849,3351310,2805083,2263380,2406632,1523234,2821242,2444497,2521903,3117471,2504518,2568162,3809674,2964932,2121855,3879399,3769538
2021-11-01T13:25,2367304,3241530,2081649,2493178,3707406,2029035,1786428,1640182,2617313,2301371,3556885,2173567,2684607,2053735,2540273,2869967,4046425,3967538,2782351,2989187
2021-11-01T13:30,3122846,2302840,2349716,3051896,3440725,2267715,3358883,2704385,3599099,2962305,3153411,2178267,2579563,1865190,1402096,3050838,2434512,2213514,2479074,2998782
2021-11-01T13:35,2385615,1930837,2301334,2910378,3871054,2326089,2968088,2524033,3622466,2059404,2610295,2170865,3239114,1896519,2677178,3729351,2131005,2451895,2305840,2581444
2021-11-01T13:40,1562398,2489281,2409518,3638663,1572531,4642653,2530062,1753567,952668,1875637,3423871,1691593,2541097,1986943,2710258,2582024,2399761,3008916,3146969,2943916
2021-11-01T13:45,1304443,2726332,2288295,2829589,3659117,4800947,2866654,1607997,2113180,2691315,2750926,3494884,2634725,2203010,2416531,2200489,3033801,3834929,3765086,2763095
2021-11-01T13:50,2563193,2453364,2148770,2639501,3162396,3153011,3657765,2009800,2476110,2686645,1885513,2483699,2696341,3177976,2563685,3264891,4564129,2617413,3285909,3452632
2021-11-01T13:55,2788256,2623702,1996703,1678492,3368933,3526517,1284011,2892573,2391522,2428543,4595303,2894010,3678973,1822780,1911377,1985367,2041353,3169857,4130550,3525041
2021-11-01T14:00,2701041,2705767,3747972,2686484,3540316,3115436,2741790,1837493,2650550,2256672,4058510,1348499,2168572,2436582,2780976,2428854,2782359,2466701,2780951,3244272
2021-11-01T14:05,2684548,2031617,1404200,2968427,4551245,3432733,2082457,2397664,2842880,2743666,3146254,3057022,2121396,2036347,3608150,2222859,2199207,2266469,2467601,3222587
2021-11-01T14:10,2646284,1304958,2729745,2913857,4668513,2503187,2855281,2069470,2852619,2949310,2579440,2177372,3098884,2203538,1601393,2778278,2804476,2703899,2403086,2842379
2021-11-01T14:15,2397824,2227789,2273881,2937220,3844775,3460758,2416056,1920429,2736544,2938707,3187894,2676837,3522951,2795405,2874028,3410600,2537906,2767723,2210194,3195680
2021-11-01T14:20,1942591,2477241,1683319,3349510,3535532,2992053,2343982,1297251,2453183,3105545,2986001,1639860,3345509,2334356,3205771,3696751,1878570,2904496,2297825,1779916
2021-11-01T14:25,1896633,2194113,2425555,1914208,2247526,2678319,2052728,1549711,2866781,2137463,2708149,2605899,2598427,3436951,3417856,4949245,2057683,2777346,3806856,2756655
2021-11-01T14:30,2335083,2171414,2676285,2546220,5722539,3582331,2664854,2416580,1724005,1870017,4036582,2476917,2709941,2494673,2261840,2906365,1619883,3246897,4021374,3289728
2021-11-01T14:35,2040240,2254626,1491589,2689051,2725675,2718572,2823097,1784088,3027269,2166327,3767162,1793482,2456506,2294433,2013145,3581533,1982069,2296135,3151266,3572842
2021-11-01T14:40,2561360,2993814,2419505,2754453,4380206,2995268,3018117,2133260,2141436,2999853,2501684,3825968,3339140,2580717,2092298,4404195,2904338,2298499,4977531,2883519
2021-11-01T14:45,1870069,1910142,2443169,1475445,2387285,2856059,3111501,3713756,2924681,3426409,2550837,4399970,3700627,2842807,2420621,2951383,2532568,3274197,1939729,2034737
2021-11-01T14:50,1271654,2334291,2946377,2418418,3348429,2360247,2570813,2075637,3025239,2470593,3057382,3256680,2753400,1312600,3282525,3171607,2323788,3501459,2977665,2909961
2021-11-01T14:55,2589271,1939841,1895632,2634570,1886040,3643670,2349583,1041731,2494549,1341743,3278435,3543684,2797282,3518821,2233026,2188017,3298666,3438044,2296314,2545691
2021-11-01T15:00,3694220,2081881,1741762,2514100,4470903,3029300,3095319,1234462,2870147,1984048,2083680,2527503,2661150,2789289,1607646,3239590,1616477,2513728,2697368,1978079
2021-11-01T15:05,2882492,1405658,1936481,3020145,4271332,2456420,3278641,1174609,1737409,1890282,1990744,2638145,2245267,1636922,2515256,3564340,1798485,3133373,3459595,2196282
2021-11-01T15:10,1743760,2390785,4426803,2790950,3500532,3403247,2214386,1512228,2653838,1361504,2485335,2269070,2587448,2660634,2447704,2620516,2903393,2802928,2551107,2764781
2021-11-01T15:15,2543330,2675394,3155235,1934033,2222803,2339117,1524743,1932982,2923021,1744395,3414908,1956294,2672390,1684497,2177686,2610526,2586785,2616750,2640612,3481041
2021-11-01T15:20,3170157,2234487,1844392,2465189,3275039,3284598,2879212,1873659,1974882,2741948,3068174,2803443,3526175,3215926,3052298,2145443,2442406,3685458,3250320,1985142
2021-11-01T15:25,1865560,2076339,1849372,3189790,3437404,2186478,3432224,2941161,3004173,2669348,2536224,2788618,3040899,2540076,3422376,4019418,2192173,2970321,2914947,1446938
2021-11-01T15:30,2826263,2083128,1853125,1733323,2866814,3836318,3250108,815507,2574898,2603116,3643402,2145725,2046594,4111825,2752297,4099324,2239600,2379888,2722254,3873402
2021-11-01T15:35,1757191,1836247,1916564,3578885,3137585,2504870,2242789,1837409,2209343,1840716,2765050,3206040,3021539,2177533,1788409,3343856,3176313,2661963,2566639,2974696
2021-11-01T15:40,2564977,1888942,1494528,2552593,3686277,3528213,3275304,1951724,2797816,2393073,4070829,3089854,4136879,2766133,5004456,3298012,2809729,2778010,3526624,2811359
2021-11-01T15:45,1947440,2693451,2276412,2392039,2633446,4646185,2220339,2043614,4476961,1789573,3804147,2806087,3440563,1998152,2782481,2355273,2388097,3812115,3264992,3080664
2021-11-01T15:50,2666271,3620687,2068567,2957837,1463495,2175590,2661780,2455550,3088076,3166745,2730211,3469679,3123319,2534435,3022773,2917076,3458493,2540289,3069597,2260572
2021-11-01T15:55,1853933,2397138,2124946,2669206,3880386,4529475,2852095,2139440,2675546,3291478,2196500,2090939,3022882,2204431,2422695,3074234,2448753,4373574,2504446,3745901
2021-11-01T16:00,1885841,3072475,1809627,2471345,3812157,3070381,2399104,1748607,1750509,2709363,3184470,2070867,3423257,2289083,2163198,2158184,2254830,2539903,3150574,3140937
2021-11-01T16:05,2806369,2116113,1207871,1951765,3119370,2964544,2100346,1354975,2087442,2036260,2851212,1361782,2869592,2136496,2533071,5220101,2774001,2249826,2535622,2127685
2021-11-01T16:10,2470977,2339400,1679877,1882158,3230677,3102627,1632304,1465749,2438302,2620695,3431110,2280272,3651308,2889746,2188495,3281353,2431846,3204297,2924939,2029800
2021-11-01T16:15,1435684,2780737,2084127,2839621,3453767,3043913,1776412,1849129,2975555,2936879,3726653,2063563,3077047,2485123,2447726,2796049,2141888,2765669,3010432,4648934
2021-11-01T16:20,3866531,1593009,2687867,3570980,2846575,2373610,1351092,2267794,2804732,959606,3151284,2713047,2787576,2537386,2790500,1598181,2411000,2176045,2647986,2383038
2021-11-01T16:25,2465676,3187210,1155047,2361999,2407548,2445324,2196887,2839877,2244682,2123285,1478431,3091497,2726745,3611427,3011319,2988433,2169790,2684112,2319756,2914314
2021-11-01T16:30,2399139,2917283,2400755,3305456,2663464,2744083,2281019,1970889,2897925,3357719,2454043,3233359,1469020,2845818,3135001,2834392,2717630,2400915,3357135,2708789
2021-11-01T16:35,2445863,2897733,3220673,2582552,3678589,3255277,2315882,1527390,3005188,2555570,4026380,2160132,4385018,1634268,1505289,1705976,2951866,2640306,2836663,3135773
